20965slr002_levulan_lbl	C0022593	keratoses
019384s045lbl	C0021311	infections
019384s045lbl	C0042029	Urinary tract infections
019384s045lbl	C0042029	urinary tract infections
019384s045lbl	C0010692	cystitis
019384s045lbl	C0036916	Sexually transmitted diseases
019384s045lbl	C0018081	gonorrhea
019384s045lbl	C0033581	Prostatitis
019384s045lbl	C0021311	infection
019384s046lbl	C0021311	infections
019384s046lbl	C0042029	Urinary tract infections
019384s046lbl	C0042029	urinary tract infections
019384s046lbl	C0010692	cystitis
019384s046lbl	C0036916	Sexually transmitted diseases
019384s046lbl	C0018081	gonorrhea
019384s046lbl	C0033581	Prostatitis
019384s046lbl	C0021311	infection
21042lbl	C0029408	osteoarthritis
21042lbl	C0030193	pain
21042lbl	C0013390	dysmenorrhea
020291s020lbl	C0024117	chronic obstructive pulmonary disease
020291s020lbl	C0024117	COPD
020291s020lbl	C0006266	bronchospasm
20846s001lbl	C0021311	infections
20846s001lbl	C0040247	tinea
20846s001lbl	C0032024	pityriasis
20846s001lbl	C0040259	tinea pedis
20846s001lbl	C0040252	tinea corporis
20846s001lbl	C0040247	ringworm
20846s001lbl	C1384589	tinea cruris
20846s001lbl	C1384589	jock itch
050786s001lbl	C0021311	infection
050786s001lbl	C0013295	duodenal ulcer disease
050786s001lbl	C0013295	duodenal ulcer
050786s001lbl	C0021311	infections
050786s001lbl	C0013295	Duodenal Ulcer
050786s001lbl	C0013295	Duodenal Ulcer Disease
019384s052lbl	C0021311	infections
019384s052lbl	C0042029	Urinary tract infections
019384s052lbl	C0042029	urinary tract infections
019384s052lbl	C0010692	cystitis
019384s052lbl	C0036916	Sexually transmitted diseases
019384s052lbl	C0018081	gonorrhea
019384s052lbl	C0033581	Prostatitis
019384s052lbl	C0021311	infection
050609s025lbl	C0021311	infections
050609s025lbl	C0021311	infection
050609s025lbl	C0041912	Upper respiratory tract infections
050609s025lbl	C0012546	Diphtheria
050609s025lbl	C0014752	Erythrasma
050609s025lbl	C0242172	pelvic inflammatory disease
050609s025lbl	C0018081	gonorrhea
050609s025lbl	C0039128	syphilis
050609s025lbl	C0023241	Legionella
050609s025lbl	C0035436	Rheumatic Fever
050609s025lbl	C0035436	rheumatic fever
050609s025lbl	C0038395	streptococcal infections
050609s025lbl	C0040425	tonsillitis
050609s025lbl	C0031350	pharyngitis
050609s025lbl	C0036689	streptococcal pharyngitis
050609s025lbl	C0014121	Bacterial Endocarditis
050609s025lbl	C0014121	bacterial endocarditis
050609s025lbl	C0000768	malformations
050609s025lbl	C0700053	idiopathic hypertrophic subaortic stenosis
050609s025lbl	C0700053	IHSS
050609s025lbl	C0026267	mitral valve prolapse
021692s005s007lbl	C0030193	pain
21055lbl	C0024299	lymphoma
21257scp012,slr013_travitran_lbl	C0017601	glaucoma
21257scp012,slr013_travitran_lbl	C0028840	ocular hypertension
21062lbl	C0021311	infections
21062lbl	C0008677	chronic bronchitis
21062lbl	C0149512	Acute sinusitis
21062lbl	C0155862	pneumonia due to Streptococcus
21062lbl	C0008148	Chlamydia
21062lbl	C0023241	Legionella
21062lbl	C0042029	urinary tract infections
21062lbl	C0010692	cystitis
21062lbl	C0034186	Pyelonephritis
21062lbl	C0018081	gonorrhea
21062lbl	C0021311	infection
19851se5-028_lotesin_lbl	C0020538	hypertension
19851se5-028_lotesin_lbl	C0001824	agranulocytosis
19851se5-028_lotesin_lbl	C0042373	vascular disease
19851se5-028_lotesin_lbl	C0002994	angioedema
10926s030lbl	C0018621	seasonal allergic rhinitis
10926s030lbl	C0035460	Vasomotor rhinitis
10926s030lbl	C0009763	conjunctivitis
10926s030lbl	C0042109	urticaria
10926s030lbl	C0002994	angioedema
10926s030lbl	C1527304	allergic reactions
10926s030lbl	C0343065	Dermographism
10926s030lbl	C0002792	Anaphylactic reactions
10926s030lbl	C0027497	nausea
10926s030lbl	C0042963	vomiting
10926s030lbl	C0030193	pain
10926s030lbl	C0026603	motion sickness
21071lbl	C0011860	type 2 diabetes mellitus
21071lbl	C0011860	type 2 diabetes
21071lbl	C0043096	weight loss
21071lbl	C0021311	infection
21073lbl	C0011860	type 2 diabetes
21073lbl	C0011854	insulin dependent diabetes mellitus
21073lbl	C0011860	NIDDM
21073lbl	C0043096	weight reduction
19777se5-044,slr042_zestril_lbl	C0020538	Hypertension
19777se5-044,slr042_zestril_lbl	C0018801	Heart Failure
19777se5-044,slr042_zestril_lbl	C0018801	heart failure
19777se5-044,slr042_zestril_lbl	C0027051	Myocardial Infarction
19777se5-044,slr042_zestril_lbl	C0001824	agranulocytosis
19777se5-044,slr042_zestril_lbl	C0262428	collagen vascular disease
19777se5-044,slr042_zestril_lbl	C0002994	angioedema
20903slr032_rebetol_lbl	C0019189	chronic hepatitis
20903slr032_rebetol_lbl	C0023895	liver disease
20903slr032_rebetol_lbl	C0016059	fibrosis
20553s22lbl	C0030193	pain
20553s22lbl	C0030193	Pain
21084lbl	C0015967	fever
21085lbl	C0021311	infections
21085lbl	C0037199	Sinusitis
21085lbl	C0008677	Chronic Bronchitis
21085lbl	C0032285	Pneumonia
21085lbl	C0008148	Chlamydia
21085lbl	C0021311	infection
21086lbl	C0036341	Schizophrenia
21086lbl	C0033975	psychotic disorders
21088lbl	C0600139	prostate cancer
50740slr014_ambisome_lbl	C0026946	fungal infection
50740slr014_ambisome_lbl	C0025289	Meningitis
50740slr014_ambisome_lbl	C0021311	infections
50740slr014_ambisome_lbl	C0026946	mycoses
50740slr014_ambisome_lbl	C0025289	meningitis
50740slr014_ambisome_lbl	C1565489	renal insufficiency
50740slr014_ambisome_lbl	C0015967	fever
50740slr014_ambisome_lbl	C0015967	Fever
50740slr014_ambisome_lbl	C0026946	fungal infections
50740slr014_ambisome_lbl	C0026946	Fungal Infections
50740slr014_ambisome_lbl	C0021311	infection
50740slr014_ambisome_lbl	C0026946	Fungal infections
50740slr014_ambisome_lbl	C0005961	bone marrow transplant
50740slr014_ambisome_lbl	C0018939	hematological disease
50740slr014_ambisome_lbl	C0019699	HIV positive
50740slr014_ambisome_lbl	C0021311	Infections
50740slr014_ambisome_lbl	C0004030	aspergillosis
50740slr014_ambisome_lbl	C0006840	candidiasis
50740slr014_ambisome_lbl	C0010414	cryptococcosis
050662s040,050698s022,050775s011lbl	C0021311	infections
050662s040,050698s022,050775s011lbl	C0031350	Pharyngitis
050662s040,050698s022,050775s011lbl	C0040425	Tonsillitis
050662s040,050698s022,050775s011lbl	C0038395	streptococcal infections
050662s040,050698s022,050775s011lbl	C0035436	rheumatic fever
050662s040,050698s022,050775s011lbl	C0024959	maxillary sinusitis
050662s040,050698s022,050775s011lbl	C0008677	chronic bronchitis
050662s040,050698s022,050775s011lbl	C0032285	Pneumonia
050662s040,050698s022,050775s011lbl	C0008148	Chlamydia
050662s040,050698s022,050775s011lbl	C0000833	Abscesses
050662s040,050698s022,050775s011lbl	C0021311	infection
050662s040,050698s022,050775s011lbl	C0013295	duodenal ulcer disease
050662s040,050698s022,050775s011lbl	C0013295	duodenal ulcer
